heuristics_version,animals_f1_score,architecture_f1_score,art_f1_score,chemistry_f1_score,culture_f1_score,diagrams_f1_score,events_f1_score,food_f1_score,geology_&_fossils_f1_score,history_f1_score,landscapes_f1_score,literature_f1_score,logos_&_symbols_f1_score,maps_&_flags_f1_score,mathematics_f1_score,medicine_&_health_f1_score,monuments_&_memorials_f1_score,music_f1_score,nature_f1_score,people_f1_score,places_f1_score,plants_f1_score,stem_f1_score,society_f1_score,space_f1_score,sports_f1_score,technology_&_engineering_f1_score,transportation_f1_score,macro_avg_f1_score,micro_avg_f1_score,samples_avg_f1_score,weighted_avg_f1_score,animals_precision,architecture_precision,art_precision,chemistry_precision,culture_precision,diagrams_precision,events_precision,food_precision,geology_&_fossils_precision,history_precision,landscapes_precision,literature_precision,logos_&_symbols_precision,maps_&_flags_precision,mathematics_precision,medicine_&_health_precision,monuments_&_memorials_precision,music_precision,nature_precision,people_precision,places_precision,plants_precision,stem_precision,society_precision,space_precision,sports_precision,technology_&_engineering_precision,transportation_precision,macro_avg_precision,micro_avg_precision,samples_avg_precision,weighted_avg_precision,animals_recall,architecture_recall,art_recall,chemistry_recall,culture_recall,diagrams_recall,events_recall,food_recall,geology_&_fossils_recall,history_recall,landscapes_recall,literature_recall,logos_&_symbols_recall,maps_&_flags_recall,mathematics_recall,medicine_&_health_recall,monuments_&_memorials_recall,music_recall,nature_recall,people_recall,places_recall,plants_recall,stem_recall,society_recall,space_recall,sports_recall,technology_&_engineering_recall,transportation_recall,macro_avg_recall,micro_avg_recall,samples_avg_recall,weighted_avg_recall,animals_support,architecture_support,art_support,chemistry_support,culture_support,diagrams_support,events_support,food_support,geology_&_fossils_support,history_support,landscapes_support,literature_support,logos_&_symbols_support,maps_&_flags_support,mathematics_support,medicine_&_health_support,monuments_&_memorials_support,music_support,nature_support,people_support,places_support,plants_support,stem_support,society_support,space_support,sports_support,technology_&_engineering_support,transportation_support,macro_avg_support,micro_avg_support,samples_avg_support,weighted_avg_support
depth,0.3157894736842105,0.0,0.0,0.6250000000000001,0.4444444444444444,0.15789473684210525,0.0,0.0,0.0,0.30769230769230765,0.0,0.3636363636363637,0.16666666666666669,0.0,0.4615384615384615,0.5,0.0,0.25000000000000006,0.29411764705882354,0.13333333333333333,0.45454545454545453,0.33333333333333337,0.5306122448979592,0.3645833333333333,0.5,0.5217391304347826,0.17391304347826086,0.0,0.24638714196142283,0.35077376565954305,0.291578078734042,0.31289155187039513,0.42857142857142855,0.0,0.0,0.7142857142857143,0.37606837606837606,0.75,0.0,0.0,0.0,0.2608695652173913,0.0,0.3076923076923077,1.0,0.0,0.375,0.4166666666666667,0.0,0.4,0.2564102564102564,0.375,0.4794520547945205,1.0,0.6190476190476191,0.3977272727272727,0.4166666666666667,0.6666666666666666,0.2,0.0,0.33714730695767453,0.4182776801405975,0.32704601718363185,0.3948204409395655,0.25,0.0,0.0,0.5555555555555556,0.5432098765432098,0.08823529411764706,0.0,0.0,0.0,0.375,0.0,0.4444444444444444,0.09090909090909091,0.0,0.6,0.625,0.0,0.18181818181818182,0.3448275862068966,0.08108108108108109,0.43209876543209874,0.2,0.4642857142857143,0.33653846153846156,0.625,0.42857142857142855,0.15384615384615385,0.0,0.24358648694107018,0.3020304568527919,0.31574923547400613,0.3020304568527919,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding,0.3157894736842105,0.0,0.19999999999999998,0.5555555555555556,0.43820224719101125,0.20512820512820512,0.196078431372549,0.0,0.28571428571428575,0.2903225806451613,0.16666666666666669,0.2758620689655173,0.16666666666666669,0.0,0.4,0.608695652173913,0.25,0.1904761904761905,0.358974358974359,0.20408163265306126,0.532258064516129,0.30769230769230765,0.6171003717472119,0.532934131736527,0.4761904761904762,0.6363636363636364,0.12121212121212122,0.49122807017543857,0.3151140426964715,0.4223776223776224,0.4051068028132248,0.3895188472161683,0.42857142857142855,0.0,0.18181818181818182,0.5555555555555556,0.28363636363636363,0.8,0.125,0.0,0.5,0.1956521739130435,1.0,0.2,1.0,0.0,0.28,0.4666666666666667,0.21052631578947367,0.2,0.23863636363636365,0.4166666666666667,0.39520958083832336,0.6666666666666666,0.5286624203821656,0.3869565217391304,0.38461538461538464,0.4666666666666667,0.07547169811320754,0.32558139534883723,0.36830571609371887,0.3338246131171702,0.36785250936627084,0.3839236076542976,0.25,0.0,0.2222222222222222,0.5555555555555556,0.9629629629629629,0.11764705882352941,0.45454545454545453,0.0,0.2,0.5625,0.09090909090909091,0.4444444444444444,0.09090909090909091,0.0,0.7,0.875,0.3076923076923077,0.18181818181818182,0.7241379310344828,0.13513513513513514,0.8148148148148148,0.2,0.7410714285714286,0.8557692307692307,0.625,1.0,0.3076923076923077,1.0,0.44356525778215145,0.5748730964467005,0.566044124071647,0.5748730964467005,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding+head,0.3157894736842105,0.1176470588235294,0.10344827586206896,0.5882352941176471,0.42815249266862176,0.15789473684210525,0.25000000000000006,0.16666666666666666,0.23529411764705882,0.25423728813559326,0.0,0.2777777777777778,0.5333333333333333,0.37499999999999994,0.4666666666666667,0.5454545454545454,0.3125,0.19999999999999998,0.38181818181818183,0.6206896551724138,0.5636363636363636,0.33333333333333337,0.6013513513513513,0.5597667638483965,0.5,0.6363636363636364,0.13114754098360656,0.45833333333333326,0.3612334959828729,0.4467991169977925,0.4462629114005261,0.44355153933849234,0.42857142857142855,0.4,0.075,0.625,0.28076923076923077,0.75,0.1724137931034483,0.3333333333333333,0.2857142857142857,0.1744186046511628,0.0,0.18518518518518517,1.0,0.6,0.35,0.42857142857142855,0.2631578947368421,0.2222222222222222,0.25925925925925924,0.54,0.4460431654676259,1.0,0.483695652173913,0.401673640167364,0.4166666666666667,0.4666666666666667,0.07339449541284404,0.3235294117647059,0.3923316558727719,0.3425863236289777,0.3902553274112907,0.408962161612391,0.25,0.06896551724137931,0.16666666666666666,0.5555555555555556,0.9012345679012346,0.08823529411764706,0.45454545454545453,0.1111111111111111,0.2,0.46875,0.0,0.5555555555555556,0.36363636363636365,0.2727272727272727,0.7,0.75,0.38461538461538464,0.18181818181818182,0.7241379310344828,0.7297297297297297,0.7654320987654321,0.2,0.7946428571428571,0.9230769230769231,0.625,1.0,0.6153846153846154,0.7857142857142857,0.48701912022643334,0.6421319796954315,0.6362785787097713,0.6421319796954315,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding+head+lookahead,0.3157894736842105,0.3076923076923077,0.2,0.5882352941176471,0.4347826086956523,0.15789473684210525,0.25000000000000006,0.16666666666666666,0.23529411764705882,0.25641025641025644,0.0,0.2777777777777778,0.5333333333333333,0.37499999999999994,0.48275862068965514,0.5454545454545454,0.20689655172413793,0.23529411764705885,0.42000000000000004,0.4229390681003584,0.5585585585585585,0.33333333333333337,0.6062717770034843,0.5271739130434783,0.5,0.6363636363636364,0.12844036697247707,0.4680851063829786,0.3632302202907399,0.4304526748971193,0.433115941143464,0.4313146325668343,0.42857142857142855,0.34782608695652173,0.11956521739130435,0.625,0.2840909090909091,0.75,0.1724137931034483,0.3333333333333333,0.2857142857142857,0.17647058823529413,0.0,0.18518518518518517,1.0,0.6,0.3684210526315789,0.42857142857142855,0.1875,0.3333333333333333,0.29577464788732394,0.28780487804878047,0.4397163120567376,1.0,0.49714285714285716,0.36742424242424243,0.4166666666666667,0.4666666666666667,0.07291666666666667,0.3333333333333333,0.38583724689326165,0.31851400730816076,0.37075020630066496,0.3835890078173773,0.25,0.27586206896551724,0.6111111111111112,0.5555555555555556,0.9259259259259259,0.08823529411764706,0.45454545454545453,0.1111111111111111,0.2,0.46875,0.0,0.5555555555555556,0.36363636363636365,0.2727272727272727,0.7,0.75,0.23076923076923078,0.18181818181818182,0.7241379310344828,0.7972972972972973,0.7654320987654321,0.2,0.7767857142857143,0.9326923076923077,0.625,1.0,0.5384615384615384,0.7857142857142857,0.5050401535389281,0.6637055837563451,0.6584789573321683,0.6637055837563451,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding+headJ,0.3157894736842105,0.06451612903225806,0.23255813953488372,0.5555555555555556,0.4406779661016949,0.20512820512820512,0.19999999999999996,0.16666666666666666,0.28571428571428575,0.2903225806451613,0.16666666666666669,0.2758620689655173,0.16666666666666669,0.14285714285714288,0.4,0.608695652173913,0.25,0.1904761904761905,0.37168141592920356,0.5241379310344828,0.5327868852459016,0.30769230769230765,0.6171003717472119,0.5549132947976879,0.4761904761904762,0.6363636363636364,0.11940298507462686,0.4827586206896552,0.34218504695122176,0.44595821980018163,0.43478028936744534,0.43014240104669993,0.42857142857142855,0.5,0.2,0.5555555555555556,0.2857142857142857,0.8,0.1282051282051282,0.3333333333333333,0.5,0.1956521739130435,1.0,0.2,1.0,0.3333333333333333,0.28,0.4666666666666667,0.21052631578947367,0.2,0.25,0.5352112676056338,0.3987730061349693,0.6666666666666666,0.5286624203821656,0.39669421487603307,0.38461538461538464,0.4666666666666667,0.07407407407407407,0.3181818181818182,0.4156108478673451,0.34724186704384724,0.3839500289041573,0.4245060286682008,0.25,0.034482758620689655,0.2777777777777778,0.5555555555555556,0.9629629629629629,0.11764705882352941,0.45454545454545453,0.1111111111111111,0.2,0.5625,0.09090909090909091,0.4444444444444444,0.09090909090909091,0.09090909090909091,0.7,0.875,0.3076923076923077,0.18181818181818182,0.7241379310344828,0.5135135135135135,0.8024691358024691,0.2,0.7410714285714286,0.9230769230769231,0.625,1.0,0.3076923076923077,1.0,0.4694723616346576,0.6230964467005076,0.6136194844910441,0.6230964467005076,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding+headJ+lookahead,0.3,0.3111111111111111,0.22222222222222227,0.5555555555555556,0.4504504504504505,0.20512820512820512,0.18181818181818182,0.42857142857142855,0.4,0.2833333333333334,0.16666666666666669,0.3243243243243243,0.5333333333333333,0.14285714285714288,0.45161290322580644,0.5454545454545454,0.25,0.23529411764705885,0.4077669902912622,0.43650793650793646,0.5625,0.30769230769230765,0.5957446808510638,0.5434173669467787,0.4761904761904762,0.6363636363636364,0.11538461538461539,0.4827586206896552,0.37685929116489636,0.4402356902356902,0.44127046725535657,0.44149432019066975,0.375,0.4375,0.1388888888888889,0.5555555555555556,0.2976190476190476,0.8,0.12121212121212122,0.6,0.6,0.19318181818181818,1.0,0.21428571428571427,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.21052631578947367,0.3333333333333333,0.28378378378378377,0.3089887640449438,0.4405594405594406,0.6666666666666666,0.49411764705882355,0.383399209486166,0.38461538461538464,0.4666666666666667,0.06593406593406594,0.3181818181818182,0.42090194061077885,0.32934508816120905,0.38280136445274054,0.4051446251288049,0.25,0.2413793103448276,0.5555555555555556,0.5555555555555556,0.9259259259259259,0.11764705882352941,0.36363636363636365,0.3333333333333333,0.3,0.53125,0.09090909090909091,0.6666666666666666,0.36363636363636365,0.09090909090909091,0.7,0.75,0.3076923076923077,0.18181818181818182,0.7241379310344828,0.7432432432432432,0.7777777777777778,0.2,0.75,0.9326923076923077,0.625,1.0,0.46153846153846156,1.0,0.5192965902176094,0.6637055837563451,0.6578090869375273,0.6637055837563451,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding+lookahead,0.3,0.2727272727272727,0.2,0.5555555555555556,0.44776119402985065,0.20512820512820512,0.21739130434782608,0.30769230769230765,0.4,0.28099173553719003,0.16666666666666669,0.3243243243243243,0.5333333333333333,0.0,0.45161290322580644,0.5454545454545454,0.25,0.23529411764705885,0.3962264150943396,0.43999999999999995,0.5486725663716814,0.30769230769230765,0.6007067137809188,0.5423728813559322,0.4761904761904762,0.6363636363636364,0.1346153846153846,0.456140350877193,0.3654612213575648,0.436684896928902,0.4347112262924459,0.43521798869186057,0.375,0.4,0.125,0.5555555555555556,0.2952755905511811,0.8,0.14285714285714285,0.5,0.6,0.19101123595505617,1.0,0.21428571428571427,1.0,0.0,0.3333333333333333,0.42857142857142855,0.21052631578947367,0.3333333333333333,0.2727272727272727,0.3125,0.42758620689655175,0.6666666666666666,0.49707602339181284,0.384,0.38461538461538464,0.4666666666666667,0.07692307692307693,0.3023255813953488,0.40342273319696437,0.3266205160478288,0.3745103944645229,0.3966137886079882,0.25,0.20689655172413793,0.5,0.5555555555555556,0.9259259259259259,0.11764705882352941,0.45454545454545453,0.2222222222222222,0.3,0.53125,0.09090909090909091,0.6666666666666666,0.36363636363636365,0.0,0.7,0.75,0.3076923076923077,0.18181818181818182,0.7241379310344828,0.7432432432432432,0.7654320987654321,0.2,0.7589285714285714,0.9230769230769231,0.625,1.0,0.5384615384615384,0.9285714285714286,0.511843468360752,0.6586294416243654,0.6514380369884957,0.6586294416243654,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding+lookahead+head,0.3157894736842105,0.3076923076923077,0.19642857142857142,0.5882352941176471,0.436046511627907,0.15789473684210525,0.25000000000000006,0.16666666666666666,0.23529411764705882,0.25641025641025644,0.0,0.2777777777777778,0.5333333333333333,0.37499999999999994,0.48275862068965514,0.5454545454545454,0.20689655172413793,0.23529411764705885,0.42000000000000004,0.4244604316546763,0.5585585585585585,0.33333333333333337,0.6062717770034843,0.5271739130434783,0.5,0.6363636363636364,0.12844036697247707,0.4680851063829786,0.3632021430734237,0.4304526748971193,0.43327127340888805,0.4315058398336445,0.42857142857142855,0.34782608695652173,0.11702127659574468,0.625,0.28517110266159695,0.75,0.1724137931034483,0.3333333333333333,0.2857142857142857,0.17647058823529413,0.0,0.18518518518518517,1.0,0.6,0.3684210526315789,0.42857142857142855,0.1875,0.3333333333333333,0.29577464788732394,0.28921568627450983,0.4397163120567376,1.0,0.49714285714285716,0.36742424242424243,0.4166666666666667,0.4666666666666667,0.07291666666666667,0.3333333333333333,0.38583535621472087,0.31851400730816076,0.37084486189990773,0.3837744196874402,0.25,0.27586206896551724,0.6111111111111112,0.5555555555555556,0.9259259259259259,0.08823529411764706,0.45454545454545453,0.1111111111111111,0.2,0.46875,0.0,0.5555555555555556,0.36363636363636365,0.2727272727272727,0.7,0.75,0.23076923076923078,0.18181818181818182,0.7241379310344828,0.7972972972972973,0.7654320987654321,0.2,0.7767857142857143,0.9326923076923077,0.625,1.0,0.5384615384615384,0.7857142857142857,0.5050401535389281,0.6637055837563451,0.6584789573321683,0.6637055837563451,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding+lookahead+headJ,0.3,0.3111111111111111,0.22222222222222227,0.5555555555555556,0.4504504504504505,0.20512820512820512,0.18181818181818182,0.42857142857142855,0.4,0.2833333333333334,0.16666666666666669,0.3243243243243243,0.5333333333333333,0.14285714285714288,0.45161290322580644,0.5454545454545454,0.25,0.23529411764705885,0.4077669902912622,0.43650793650793646,0.5625,0.30769230769230765,0.5957446808510638,0.5434173669467787,0.4761904761904762,0.6363636363636364,0.11538461538461539,0.4827586206896552,0.37685929116489636,0.4402356902356902,0.44127046725535657,0.44149432019066975,0.375,0.4375,0.1388888888888889,0.5555555555555556,0.2976190476190476,0.8,0.12121212121212122,0.6,0.6,0.19318181818181818,1.0,0.21428571428571427,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.21052631578947367,0.3333333333333333,0.28378378378378377,0.3089887640449438,0.4405594405594406,0.6666666666666666,0.49411764705882355,0.383399209486166,0.38461538461538464,0.4666666666666667,0.06593406593406594,0.3181818181818182,0.42090194061077885,0.32934508816120905,0.38280136445274054,0.4051446251288049,0.25,0.2413793103448276,0.5555555555555556,0.5555555555555556,0.9259259259259259,0.11764705882352941,0.36363636363636365,0.3333333333333333,0.3,0.53125,0.09090909090909091,0.6666666666666666,0.36363636363636365,0.09090909090909091,0.7,0.75,0.3076923076923077,0.18181818181818182,0.7241379310344828,0.7432432432432432,0.7777777777777778,0.2,0.75,0.9326923076923077,0.625,1.0,0.46153846153846156,1.0,0.5192965902176094,0.6637055837563451,0.6578090869375273,0.6637055837563451,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
depth+embedding10,0.28571428571428575,0.0,0.09999999999999999,0.6250000000000001,0.4738675958188153,0.15789473684210525,0.196078431372549,0.0,0.0,0.2692307692307693,0.0,0.3636363636363637,0.3076923076923077,0.0,0.4615384615384615,0.4761904761904762,0.24000000000000002,0.4444444444444444,0.4421052631578947,0.2268041237113402,0.5164319248826291,0.33333333333333337,0.592885375494071,0.5318352059925093,0.5,0.6666666666666666,0.23188405797101452,0.19047619047619047,0.3083467862202224,0.4246424642464246,0.39875252168830155,0.3857437161692566,0.3333333333333333,0.0,0.5,0.7142857142857143,0.3300970873786408,0.75,0.125,0.0,0.0,0.19444444444444445,0.0,0.3076923076923077,1.0,0.0,0.375,0.38461538461538464,0.25,0.5714285714285714,0.3181818181818182,0.4782608695652174,0.4166666666666667,1.0,0.5319148936170213,0.43558282208588955,0.4166666666666667,0.52,0.14285714285714285,0.2857142857142857,0.3707765003047537,0.37475728155339805,0.4053007135575943,0.40496149836033696,0.25,0.0,0.05555555555555555,0.5555555555555556,0.8395061728395061,0.08823529411764706,0.45454545454545453,0.0,0.0,0.4375,0.0,0.4444444444444444,0.18181818181818182,0.0,0.6,0.625,0.23076923076923078,0.36363636363636365,0.7241379310344828,0.14864864864864866,0.6790123456790124,0.2,0.6696428571428571,0.6826923076923077,0.625,0.9285714285714286,0.6153846153846154,0.14285714285714285,0.37651834036758697,0.48984771573604063,0.4877967088976263,0.48984771573604063,12.0,29.0,18.0,9.0,81.0,34.0,11.0,9.0,10.0,32.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,29.0,74.0,81.0,10.0,112.0,104.0,8.0,14.0,13.0,14.0,788.0,788.0,788.0,788.0
