epoch,binary_accuracy,loss,pr_auc,precision,recall
0,0.9163583517074585,0.2035079449415207,0.2454831898212433,0.6540246605873108,0.42273983359336853
1,0.9231570959091187,0.18718114495277405,0.31772586703300476,0.6988975405693054,0.4642302393913269
2,0.9251681566238403,0.18202252686023712,0.3399864733219147,0.7088188529014587,0.4811185300350189
3,0.9272827506065369,0.17746496200561523,0.36329174041748047,0.7182994484901428,0.49970200657844543
4,0.9291530251502991,0.17274200916290283,0.3847830891609192,0.7269762754440308,0.5150856375694275
5,0.931494414806366,0.16757415235042572,0.4083065390586853,0.7357560992240906,0.5368591547012329
6,0.9339891076087952,0.1613425463438034,0.43624597787857056,0.7456763386726379,0.5583884716033936
7,0.936583936214447,0.1550625115633011,0.46045079827308655,0.7546462416648865,0.5820086002349854
8,0.9399796724319458,0.14703159034252167,0.49028825759887695,0.7677488327026367,0.6097568273544312
9,0.9436542391777039,0.13862264156341553,0.5296355485916138,0.7813589572906494,0.6394151449203491
10,0.9470280408859253,0.12991811335086823,0.5603154301643372,0.7936959862709045,0.665873646736145
11,0.9504265785217285,0.12177831679582596,0.5926559567451477,0.806406557559967,0.6912866830825806
12,0.9539305567741394,0.1135140061378479,0.6217788457870483,0.8202446699142456,0.7157275676727295
13,0.9570919871330261,0.10601998120546341,0.6496394276618958,0.8319963216781616,0.7382240891456604
14,0.9604347944259644,0.09804926067590714,0.6797534227371216,0.845093309879303,0.760578989982605
15,0.9630763530731201,0.09177803248167038,0.7027009129524231,0.854925811290741,0.7785664796829224
16,0.9658662676811218,0.08504080772399902,0.7359914779663086,0.8651160597801208,0.7975163459777832
17,0.968005895614624,0.0800538957118988,0.7564149498939514,0.8733991384506226,0.8112536668777466
18,0.9708343744277954,0.0737232193350792,0.7817580103874207,0.8838592767715454,0.8297736048698425
19,0.9725545644760132,0.0689796507358551,0.8023365139961243,0.8896520137786865,0.841600775718689
20,0.9742649793624878,0.0649721547961235,0.8178232908248901,0.89565509557724,0.8529589772224426
21,0.9760099053382874,0.06072896718978882,0.8394883871078491,0.9029593467712402,0.8630470037460327
22,0.9775430560112,0.057044219225645065,0.8557084202766418,0.9084281921386719,0.8729738593101501
23,0.9785212278366089,0.05464622750878334,0.8662072420120239,0.9123048186302185,0.8788117170333862
24,0.9801350235939026,0.05076437070965767,0.8833138346672058,0.9179243445396423,0.8893101215362549
25,0.9801552295684814,0.05104313790798187,0.8781163096427917,0.9178894758224487,0.8895543813705444
26,0.9821032285690308,0.0459979847073555,0.899027407169342,0.9256547093391418,0.9010004997253418
27,0.9833248853683472,0.04323716089129448,0.9113971590995789,0.9302892088890076,0.9084065556526184
28,0.983940839767456,0.04172494634985924,0.9144275784492493,0.9326739311218262,0.9120655655860901
29,0.9843879342079163,0.04046545922756195,0.9197610020637512,0.9344543218612671,0.914669394493103
30,0.9851677417755127,0.038621630519628525,0.9225543141365051,0.9373636841773987,0.9194129705429077
