epoch,binary_accuracy,loss,pr_auc,precision,recall,val_binary_accuracy,val_loss,val_pr_auc,val_precision,val_recall
0,0.9398524761199951,0.14678993821144104,0.20313438773155212,0.6543608903884888,0.431972861289978,0.9435127973556519,0.13758070766925812,0.2518027424812317,0.6868792772293091,0.46444907784461975
1,0.9446172714233398,0.13466504216194153,0.26284611225128174,0.6969226598739624,0.47108179330825806,0.9446105360984802,0.13436883687973022,0.2663617432117462,0.6841660737991333,0.49640941619873047
2,0.9454410672187805,0.13255880773067474,0.276184618473053,0.7032561898231506,0.4807984232902527,0.9451534748077393,0.13326285779476166,0.2812839150428772,0.6907674074172974,0.4968627393245697
3,0.9461612105369568,0.13060735166072845,0.28584450483322144,0.7065998315811157,0.49057331681251526,0.9449347853660583,0.1331760138273239,0.2855195701122284,0.6943361759185791,0.4850921630859375
4,0.9465180039405823,0.12953290343284607,0.2988825738430023,0.7094182372093201,0.49519163370132446,0.9451863169670105,0.13279899954795837,0.2885169982910156,0.7071000337600708,0.4692417085170746
5,0.9471023678779602,0.12845487892627716,0.30069565773010254,0.7136167287826538,0.49878114461898804,0.9454823136329651,0.1319892257452011,0.2910458743572235,0.6920185089111328,0.502355694770813
6,0.9474260210990906,0.12751510739326477,0.3120400011539459,0.7156779766082764,0.5047036409378052,0.9454571604728699,0.13209237158298492,0.29420873522758484,0.7073437571525574,0.47496286034584045
7,0.9476380348205566,0.12688708305358887,0.3188658058643341,0.7161158919334412,0.5075799822807312,0.9454566240310669,0.13235504925251007,0.2931475043296814,0.689945638179779,0.5056977272033691
8,0.9480482339859009,0.12598399817943573,0.3247705399990082,0.7193851470947266,0.513256311416626,0.9458828568458557,0.13141679763793945,0.29537639021873474,0.704002857208252,0.4901818037033081
9,0.9484521150588989,0.12501150369644165,0.33125317096710205,0.7215433716773987,0.5184847116470337,0.9458194971084595,0.1318926066160202,0.29808714985847473,0.698720395565033,0.49796319007873535
10,0.9490126371383667,0.1238250806927681,0.3387177288532257,0.7248378396034241,0.5230081677436829,0.94564288854599,0.1326996088027954,0.30010464787483215,0.6885948777198792,0.5128257274627686
11,0.9490557909011841,0.12356667220592499,0.3441155254840851,0.7246259450912476,0.5236729979515076,0.94563227891922,0.13200680911540985,0.29652515053749084,0.7046030163764954,0.48343831300735474
12,0.9494486451148987,0.12257663160562515,0.3507257401943207,0.7276241779327393,0.5288758277893066,0.9457826614379883,0.1319371610879898,0.2990226149559021,0.6988807320594788,0.4968189597129822
13,0.9498891830444336,0.12145763635635376,0.3540898859500885,0.7295247912406921,0.5340771675109863,0.9453624486923218,0.1327635645866394,0.304428368806839,0.6864250898361206,0.5103278160095215
14,0.9501963257789612,0.12065168470144272,0.36274904012680054,0.7315855026245117,0.5369983315467834,0.9456985592842102,0.13217326998710632,0.30488964915275574,0.6949635744094849,0.5019711256027222
