epoch,binary_accuracy,loss,pr_auc,precision,recall,roc_auc,val_binary_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,0.710970938205719,0.969244122505188,0.22297842800617218,0.21289484202861786,0.6665360927581787,0.771321713924408,0.6956773400306702,0.9378458261489868,0.2547806203365326,0.2120382934808731,0.7177643179893494,0.7958090901374817
1,0.7372034788131714,0.9045552611351013,0.2596202492713928,0.23652547597885132,0.6929705142974854,0.8013944029808044,0.7449089288711548,0.8858175873756409,0.2803996205329895,0.23729678988456726,0.6649928689002991,0.8120875358581543
2,0.7496078610420227,0.8759391903877258,0.2757568657398224,0.24778257310390472,0.6993671655654907,0.8136540651321411,0.7310677170753479,0.8675845861434937,0.2938092052936554,0.23451581597328186,0.7095675468444824,0.8192612528800964
3,0.7570874094963074,0.852649986743927,0.2879314422607422,0.2551937699317932,0.7043483257293701,0.8225388526916504,0.7597054243087769,0.8357146978378296,0.30990076065063477,0.2600460946559906,0.7201274037361145,0.8297233581542969
4,0.7609223127365112,0.8363192081451416,0.2939322888851166,0.2591801583766937,0.7072162628173828,0.8281837701797485,0.7657977342605591,0.8378722071647644,0.3093816936016083,0.2655585706233978,0.7192412614822388,0.8296577334403992
5,0.7659713625907898,0.8171215057373047,0.3003612160682678,0.2643655836582184,0.7098322510719299,0.8343493342399597,0.7596139907836914,0.8433177471160889,0.3125748038291931,0.257493793964386,0.706027626991272,0.8301195502281189
6,0.7697688341140747,0.7998117804527283,0.3047412037849426,0.26807543635368347,0.7100594639778137,0.8391568064689636,0.7526906728744507,0.8531123995780945,0.31265053153038025,0.25772032141685486,0.7429962754249573,0.8290917277336121
7,0.7734836339950562,0.7857669591903687,0.30851611495018005,0.27180129289627075,0.7102673649787903,0.8426182866096497,0.7738587260246277,0.8599886298179626,0.309230774641037,0.2670263350009918,0.6830018162727356,0.8309912085533142
8,0.7777719497680664,0.767886757850647,0.3110690116882324,0.2762657701969147,0.7107098698616028,0.8468512296676636,0.768186092376709,0.9107558131217957,0.31197914481163025,0.2660644054412842,0.7090044617652893,0.8251537084579468
9,0.7789387702941895,0.7595257759094238,0.31600338220596313,0.27749931812286377,0.7108007669448853,0.8486968278884888,0.7913376092910767,0.873223066329956,0.31661030650138855,0.2892351746559143,0.7015184164047241,0.8332238793373108
10,0.7808060050010681,0.7518923282623291,0.3173665702342987,0.28019964694976807,0.7150144577026367,0.8509377241134644,0.7927637100219727,0.8813966512680054,0.3190092444419861,0.2884003520011902,0.6873171329498291,0.8316459059715271
11,0.7836199998855591,0.7414699792861938,0.3199966549873352,0.2830280065536499,0.7138869762420654,0.8533107042312622,0.7708985209465027,0.8783901333808899,0.3156532943248749,0.2676132917404175,0.7027507424354553,0.8316672444343567
12,0.7862324118614197,0.7295820116996765,0.32384365797042847,0.28610071539878845,0.7150747179985046,0.8560097813606262,0.7875968217849731,0.920783519744873,0.320171982049942,0.2875206470489502,0.7162643671035767,0.8333881497383118
13,0.7883590459823608,0.7198042869567871,0.32561108469963074,0.28865694999694824,0.7161296010017395,0.8583113551139832,0.7837938666343689,0.9142447710037231,0.31269270181655884,0.27987581491470337,0.6964370012283325,0.8320373892784119
14,0.7903263568878174,0.7139492630958557,0.3270300030708313,0.29091036319732666,0.716263473033905,0.8598192930221558,0.7826144695281982,0.9514254331588745,0.31875818967819214,0.28261786699295044,0.7195596694946289,0.8307119011878967
15,0.7929007411003113,0.7045629024505615,0.3306581676006317,0.2940116226673126,0.7170121669769287,0.8620157241821289,0.8083946704864502,1.016982913017273,0.3257889747619629,0.31013619899749756,0.699999988079071,0.8324313163757324
16,0.7951498031616211,0.6924454569816589,0.33412083983421326,0.29706135392189026,0.7193945646286011,0.8645662665367126,0.8016690611839294,1.0444327592849731,0.32632336020469666,0.3047220706939697,0.7195643186569214,0.830725371837616
17,0.7966601848602295,0.6860635876655579,0.3358709216117859,0.2988625168800354,0.7193847298622131,0.8661070466041565,0.7950251698493958,1.0289771556854248,0.3236452639102936,0.2965543866157532,0.7190981507301331,0.8298316597938538
18,0.7993565201759338,0.6762368083000183,0.33799558877944946,0.3022679388523102,0.7201704382896423,0.8683823347091675,0.7795448899269104,1.0233395099639893,0.31800004839897156,0.2801460325717926,0.72420734167099,0.8272431492805481
19,0.7997242212295532,0.67230623960495,0.33870965242385864,0.3028757572174072,0.7210915088653564,0.8694981336593628,0.7958548665046692,1.0099360942840576,0.3221761882305145,0.2974436283111572,0.718521237373352,0.8311406373977661
20,0.8016265034675598,0.6668787002563477,0.3411255180835724,0.3049537241458893,0.7193782925605774,0.8709574937820435,0.7742013931274414,0.9863325953483582,0.3034904897212982,0.27076950669288635,0.7019199728965759,0.8208781480789185
