epoch,binary_accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_binary_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.9265003800392151,1410196.0,667528.0,0.18960002064704895,0.5887567400932312,0.7122719287872314,0.5395525097846985,0.8722386360168457,24537840.0,1652468.0,0.7481819987297058,30872.0,356823.0,0.5709127187728882,0.09620795398950577,0.19822263717651367,0.7407653331756592,0.6134495139122009,1063672.0,88217.0
1,0.936812698841095,1296324.0,489861.0,0.15967829525470734,0.6927326321601868,0.7828823924064636,0.5767331719398499,0.8875843286514282,24715502.0,1766340.0,0.7699222564697266,37317.0,316907.0,0.9962448477745056,0.09242545068264008,0.20510736107826233,0.6866461038589478,0.565875768661499,1103588.0,81772.0
2,0.9382681846618652,1280695.0,464315.0,0.15729814767837524,0.7166590690612793,0.7932963967323303,0.5818362832069397,0.894502580165863,24741070.0,1781969.0,0.7761356234550476,44507.0,300151.0,1.0557703971862793,0.08902119845151901,0.19902704656124115,0.62627112865448,0.5346453785896301,1120344.0,74582.0
3,0.9406455755233765,1245687.0,432119.0,0.15082915127277374,0.7514408230781555,0.8078699111938477,0.5932668447494507,0.9001666903495789,24773250.0,1816977.0,0.8397955894470215,45941.0,200707.0,0.4613964855670929,0.10913427174091339,0.2671048641204834,0.614229679107666,0.5695965886116028,1219788.0,73148.0
4,0.9430186152458191,1195916.0,414806.0,0.14163748919963837,0.781119704246521,0.8181914687156677,0.6095177531242371,0.9090237617492676,24790556.0,1866748.0,0.8249282240867615,41757.0,227781.0,0.4754599630832672,0.09619787335395813,0.25345364212989807,0.649363100528717,0.5177893042564392,1192714.0,77332.0
5,0.9447761178016663,1165504.0,395549.0,0.13694459199905396,0.7997138500213623,0.8274752497673035,0.619447648525238,0.9146366715431213,24809830.0,1897160.0,0.8402628302574158,45462.0,200467.0,0.41167891025543213,0.1063985675573349,0.2686195373535156,0.6182519197463989,0.5753316283226013,1220028.0,73627.0
6,0.9456819891929626,1144096.0,391372.0,0.13442939519882202,0.8080642223358154,0.8305705189704895,0.6264376640319824,0.9164204597473145,24814028.0,1918568.0,0.8428757786750793,45629.0,196277.0,0.3920188248157501,0.1020612120628357,0.2723393440246582,0.6168496012687683,0.5541706681251526,1224218.0,73460.0
7,0.9454697370529175,1156117.0,385341.0,0.13500115275382996,0.8049618005752563,0.8318674564361572,0.6225126385688782,0.9150551557540894,24820028.0,1906547.0,0.8509578704833984,49607.0,179856.0,0.37664085626602173,0.11646243184804916,0.2786659002304077,0.5834459662437439,0.5775947570800781,1240639.0,69482.0
8,0.9467447996139526,1130550.0,374858.0,0.13331744074821472,0.8095875978469849,0.8375108242034912,0.6308605670928955,0.9175054430961609,24830512.0,1932114.0,0.8443261981010437,47604.0,192069.0,0.4003961384296417,0.11066361516714096,0.27123475074768066,0.6002653241157532,0.5860641002655029,1228426.0,71485.0
9,0.9474008679389954,1121835.0,365053.0,0.13149046897888184,0.8171989321708679,0.8416861891746521,0.6337061524391174,0.919089138507843,24840318.0,1940829.0,0.8303297162055969,45244.0,215978.0,0.42852523922920227,0.1031440943479538,0.2547934353351593,0.620082437992096,0.5611619353294373,1204517.0,73845.0
10,0.9477478265762329,1117774.0,359259.0,0.1303463727235794,0.8186743259429932,0.844081699848175,0.6350321173667908,0.9191121459007263,24846094.0,1944890.0,0.8574874997138977,52711.0,166699.0,0.3641622066497803,0.11495325714349747,0.2847900092601776,0.5573814511299133,0.5760524868965149,1253796.0,66378.0
11,0.9480594992637634,1114527.0,353704.0,0.12924563884735107,0.8204204440116882,0.8463386297225952,0.6360923051834106,0.9198581576347351,24851676.0,1948137.0,0.8772145509719849,50424.0,138614.0,0.30442941188812256,0.12643077969551086,0.3312684893608093,0.576585590839386,0.6216549277305603,1281881.0,68665.0
12,0.9487171769142151,1094478.0,355193.0,0.12724170088768005,0.8267467617988586,0.8471222519874573,0.6426385641098022,0.923393726348877,24850172.0,1968186.0,0.9072561264038086,53168.0,89619.0,0.2339010387659073,0.1558854877948761,0.42382022738456726,0.5535439848899841,0.6742908358573914,1330876.0,65921.0
13,0.9487171769142151,1094478.0,355193.0,0.12724170088768005,0.8267467617988586,0.8471222519874573,0.6426385641098022,0.923393726348877,24850172.0,1968186.0,0.9072561264038086,53168.0,89619.0,0.2339010387659073,0.1558854877948761,0.42382022738456726,0.5535439848899841,0.6742908358573914,1330876.0,65921.0
14,0.9487171769142151,1094478.0,355193.0,0.12724170088768005,0.8267467617988586,0.8471222519874573,0.6426385641098022,0.923393726348877,24850172.0,1968186.0,0.9072561264038086,53168.0,89619.0,0.2339010387659073,0.1558854877948761,0.42382022738456726,0.5535439848899841,0.6742908358573914,1330876.0,65921.0
