epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.28407686948776245,0.28407686948776245,0.22852090001106262,0.29139232635498047,0.29139232635498047,0.22098234295845032
1,0.3034045398235321,0.3034045398235321,0.21793591976165771,0.30756956338882446,0.30756956338882446,0.21953141689300537
2,0.31157997250556946,0.31157997250556946,0.21423554420471191,0.3084380030632019,0.3084380030632019,0.2172459065914154
3,0.31853681802749634,0.31853681802749634,0.21102169156074524,0.31688007712364197,0.31688007712364197,0.21735969185829163
4,0.3247321844100952,0.3247321844100952,0.2079237550497055,0.3062366247177124,0.3062366247177124,0.2169848531484604
5,0.3312252461910248,0.3312252461910248,0.20470748841762543,0.3073474168777466,0.3073474168777466,0.2170259952545166
6,0.33805185556411743,0.33805185556411743,0.20130015909671783,0.3159106373786926,0.3159106373786926,0.21816664934158325
7,0.346098393201828,0.346098393201828,0.1976914405822754,0.3105788230895996,0.3105788230895996,0.22040830552577972
8,0.3545595407485962,0.3545595407485962,0.1938885897397995,0.3052470088005066,0.3052470088005066,0.22159996628761292
9,0.36275893449783325,0.36275893449783325,0.18995100259780884,0.3069838881492615,0.3069838881492615,0.22445820271968842
10,0.3718021512031555,0.3718021512031555,0.18595997989177704,0.32035383582115173,0.32035383582115173,0.22648023068904877
11,0.38023674488067627,0.38023674488067627,0.18188363313674927,0.3012279272079468,0.3012279272079468,0.22942650318145752
12,0.3890686631202698,0.3890686631202698,0.17776110768318176,0.31076058745384216,0.31076058745384216,0.23404203355312347
13,0.3980507552623749,0.3980507552623749,0.1735350489616394,0.3058326840400696,0.3058326840400696,0.23558123409748077
14,0.40655311942100525,0.40655311942100525,0.16942811012268066,0.30013734102249146,0.30013734102249146,0.23995505273342133
15,0.41396576166152954,0.41396576166152954,0.16546812653541565,0.3089631199836731,0.3089631199836731,0.2448580414056778
16,0.422181099653244,0.422181099653244,0.16159924864768982,0.30203577876091003,0.30203577876091003,0.24728046357631683
17,0.4300522208213806,0.4300522208213806,0.15750837326049805,0.3005816638469696,0.3005816638469696,0.25306397676467896
18,0.436411052942276,0.436411052942276,0.1538485288619995,0.3057519197463989,0.3057519197463989,0.2602204978466034
19,0.4438529312610626,0.4438529312610626,0.1501939445734024,0.29369470477104187,0.29369470477104187,0.2614540159702301
20,0.450392484664917,0.450392484664917,0.14650298655033112,0.29224058985710144,0.29224058985710144,0.26625117659568787
21,0.4575034976005554,0.4575034976005554,0.14302954077720642,0.29993537068367004,0.29993537068367004,0.2718795835971832
22,0.4634729325771332,0.4634729325771332,0.13962887227535248,0.29971322417259216,0.29971322417259216,0.2746952474117279
23,0.46907296776771545,0.46907296776771545,0.13632875680923462,0.2964010238647461,0.2964010238647461,0.28289029002189636
24,0.47415605187416077,0.47415605187416077,0.13327030837535858,0.29395726323127747,0.29395726323127747,0.28554385900497437
25,0.4800138771533966,0.4800138771533966,0.1302640289068222,0.29417940974235535,0.29417940974235535,0.29082149267196655
26,0.48552221059799194,0.48552221059799194,0.12715104222297668,0.2955527603626251,0.2955527603626251,0.29791566729545593
27,0.4899129271507263,0.4899129271507263,0.12442006915807724,0.2998141944408417,0.2998141944408417,0.30044862627983093
28,0.49401792883872986,0.49401792883872986,0.12165141850709915,0.2865048348903656,0.2865048348903656,0.3065342307090759
29,0.4977867007255554,0.4977867007255554,0.11898449808359146,0.2933109700679779,0.2933109700679779,0.3126024305820465
