epoch,binary_accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_binary_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.9192245602607727,1171770.0,731298.0,0.11519503593444824,0.14055787026882172,0.4727255702018738,0.35878169536590576,0.673027515411377,21001304.0,655642.0,0.9252026677131653,73477.0,42459.0,0.1907859742641449,0.17629872262477875,0.5221594572067261,0.38704806566238403,0.7073624134063721,1387667.0,46397.0
1,0.9230735301971436,1156851.0,655542.0,0.10150472819805145,0.16105322539806366,0.5056628584861755,0.36694571375846863,0.709055483341217,21077024.0,670561.0,0.9269561171531677,72597.0,40621.0,0.18487548828125,0.18194305896759033,0.5378620624542236,0.3943891227245331,0.7280676960945129,1389505.0,47277.0
2,0.9232645034790039,1146368.0,661525.0,0.09507982432842255,0.17137357592582703,0.5072692632675171,0.37268224358558655,0.7208319902420044,21071056.0,681044.0,0.9269644021987915,74554.0,38651.0,0.1856442540884018,0.18839482963085175,0.5397101640701294,0.3780636191368103,0.726269006729126,1391475.0,45320.0
3,0.9241774678230286,1137228.0,649131.0,0.0897509977221489,0.18103642761707306,0.5153261423110962,0.3776838481426239,0.733286440372467,21083456.0,690184.0,0.9265727400779724,73803.0,40009.0,0.18492521345615387,0.191840261220932,0.535211443901062,0.38432854413986206,0.7341051697731018,1390117.0,46071.0
4,0.9251416325569153,1132907.0,630774.0,0.0866684541106224,0.18725523352622986,0.524044394493103,0.38004839420318604,0.7412374019622803,21101816.0,694505.0,0.926567554473877,74963.0,38857.0,0.18464422225952148,0.19227205216884613,0.5361354947090149,0.3746517300605774,0.7293156981468201,1391269.0,44911.0
5,0.925187349319458,1123083.0,639520.0,0.08443070948123932,0.19247908890247345,0.5241131782531738,0.38542431592941284,0.7453570365905762,21093084.0,704329.0,0.923542320728302,75075.0,43434.0,0.18877249956130981,0.19712430238723755,0.5077351927757263,0.37371739745140076,0.7337501645088196,1386692.0,44799.0
6,0.9248144030570984,1125509.0,645869.0,0.08523806184530258,0.19060452282428741,0.5207876563072205,0.38409674167633057,0.7467395663261414,21086724.0,701903.0,0.927450954914093,74770.0,37681.0,0.18305417895317078,0.19786037504673004,0.5448330044746399,0.37626174092292786,0.7281556725502014,1392445.0,45104.0
7,0.9257239103317261,1126403.0,623540.0,0.08210638165473938,0.19527825713157654,0.529243528842926,0.38360753655433655,0.7517018914222717,21109042.0,701009.0,0.9275045394897461,73040.0,39328.0,0.18125975131988525,0.195190891623497,0.5435574650764465,0.3906935751438141,0.7257007360458374,1390798.0,46834.0
8,0.9255233407020569,1119429.0,635251.0,0.08175177127122879,0.19514760375022888,0.5270734429359436,0.3874238431453705,0.7516771554946899,21097336.0,707983.0,0.9260532259941101,76921.0,37697.0,0.1868421882390976,0.19881847500801086,0.5325852632522583,0.35831791162490845,0.7324337363243103,1392429.0,42953.0
9,0.9256685972213745,1120839.0,630421.0,0.0812065377831459,0.19941523671150208,0.5284788012504578,0.38665226101875305,0.7530720233917236,21102180.0,706573.0,0.9275833368301392,70612.0,41634.0,0.18006211519241333,0.19823633134365082,0.5419600605964661,0.41094815731048584,0.7357061505317688,1388492.0,49262.0
10,0.9257941842079163,1112957.0,635335.0,0.08013720065355301,0.2024528682231903,0.5293082594871521,0.39096546173095703,0.7524773478507996,21097268.0,714455.0,0.9279732704162598,74480.0,37161.0,0.18024085462093353,0.20329108834266663,0.5498637557029724,0.378680944442749,0.7291590571403503,1392965.0,45394.0
11,0.9260947108268738,1116825.0,624363.0,0.07879924029111862,0.20792041718959808,0.5322948694229126,0.38884881138801575,0.7567563056945801,21108224.0,710587.0,0.9282317161560059,69732.0,41509.0,0.17958715558052063,0.20456501841545105,0.5470971465110779,0.4182892143726349,0.7310513854026794,1388617.0,50142.0
