epoch,binary_accuracy,loss,pr_auc,precision,recall,val_binary_accuracy,val_loss,val_pr_auc,val_precision,val_recall
0,0.925475001335144,0.18495742976665497,0.07547996938228607,0.5155843496322632,0.20869708061218262,0.9270568490028381,0.1784488707780838,0.07559140026569366,0.5410476326942444,0.2308880239725113
1,0.9263842105865479,0.17986907064914703,0.07560589909553528,0.5340283513069153,0.2050992250442505,0.9270568490028381,0.1786416918039322,0.07559140026569366,0.5410476326942444,0.2308880239725113
2,0.9306169748306274,0.17335198819637299,0.09877586364746094,0.6017868518829346,0.24225105345249176,0.9317637085914612,0.1701028048992157,0.11325100064277649,0.6324935555458069,0.2322448492050171
3,0.9324958324432373,0.16780610382556915,0.12349012494087219,0.6433550715446472,0.24093344807624817,0.9333111643791199,0.16517384350299835,0.13877171277999878,0.6793874502182007,0.22301596403121948
4,0.9341950416564941,0.1630190759897232,0.14518864452838898,0.6663493514060974,0.25501444935798645,0.9339873790740967,0.16220389306545258,0.1546943485736847,0.6702595353126526,0.24942709505558014
5,0.9347537755966187,0.1608697474002838,0.15951046347618103,0.675951361656189,0.26460978388786316,0.9348188638687134,0.16077567636966705,0.1643468141555786,0.6706597208976746,0.27059540152549744
6,0.9354686737060547,0.15855641663074493,0.16988998651504517,0.6813971400260925,0.27302828431129456,0.9353631734848022,0.1585075706243515,0.17182213068008423,0.6764253377914429,0.2778109610080719
7,0.9361369609832764,0.15696696937084198,0.17734438180923462,0.6860450506210327,0.2819831371307373,0.9357354044914246,0.15727005898952484,0.1808660328388214,0.661500096321106,0.306879460811615
8,0.9363487958908081,0.15605399012565613,0.18482239544391632,0.6897187829017639,0.28770482540130615,0.9360657930374146,0.1562943160533905,0.18416088819503784,0.6661278009414673,0.30918043851852417
9,0.9368427395820618,0.15478746592998505,0.19155414402484894,0.6950267553329468,0.2936953902244568,0.9363675713539124,0.15549218654632568,0.18986187875270844,0.6861097812652588,0.2916167676448822
10,0.9371829628944397,0.1539461612701416,0.1985773891210556,0.697447657585144,0.2985680103302002,0.9366557598114014,0.15494436025619507,0.19579635560512543,0.6759085059165955,0.3112625777721405
11,0.9376227855682373,0.15293443202972412,0.20323143899440765,0.7003716230392456,0.30446815490722656,0.9366865158081055,0.15478235483169556,0.19431911408901215,0.692721426486969,0.2919169068336487
12,0.9377993941307068,0.15222902595996857,0.20783866941928864,0.7014357447624207,0.30915579199790955,0.9366918206214905,0.15461589395999908,0.19673725962638855,0.6817088723182678,0.3048098385334015
13,0.9382613897323608,0.15115217864513397,0.21233195066452026,0.7053809762001038,0.31435078382492065,0.9366629719734192,0.15445567667484283,0.19900304079055786,0.6786046624183655,0.3079768121242523
14,0.938440203666687,0.1505894958972931,0.21741922199726105,0.7074270248413086,0.31563374400138855,0.9368947148323059,0.1538408249616623,0.2034214586019516,0.6748009920120239,0.3188282549381256
