epoch,binary_accuracy,loss,pr_auc,precision,recall,val_binary_accuracy,val_loss,val_pr_auc,val_precision,val_recall
0,0.9394817352294922,0.14666855335235596,0.20142164826393127,0.6583911180496216,0.4132233262062073,0.9410783648490906,0.14218614995479584,0.22897006571292877,0.6818533539772034,0.41342440247535706
1,0.9414781928062439,0.14139536023139954,0.23045219480991364,0.6788134574890137,0.427538126707077,0.9419577121734619,0.14047479629516602,0.2376708984375,0.6886751055717468,0.4236881136894226
2,0.9420832395553589,0.13998669385910034,0.23881785571575165,0.6848732233047485,0.4320901930332184,0.9422157406806946,0.14012575149536133,0.24380581080913544,0.6974679231643677,0.4160255193710327
3,0.9424133896827698,0.1392037570476532,0.24542199075222015,0.6879860162734985,0.4348589777946472,0.94244384765625,0.13964837789535522,0.24691934883594513,0.6867960095405579,0.4386163055896759
4,0.9426463842391968,0.13861514627933502,0.24859610199928284,0.6898462772369385,0.43737542629241943,0.9424376487731934,0.1393749713897705,0.2506259083747864,0.6947341561317444,0.4254544973373413
5,0.94281005859375,0.13813002407550812,0.2543026804924011,0.6909990906715393,0.4393790066242218,0.9427469372749329,0.13889063894748688,0.25188174843788147,0.680697500705719,0.4569365084171295
6,0.943014919757843,0.13775628805160522,0.25700315833091736,0.6926386952400208,0.44152554869651794,0.9427501559257507,0.13869601488113403,0.25409135222435,0.6933016777038574,0.4351241886615753
7,0.9431244134902954,0.13737910985946655,0.2604934871196747,0.6935698390007019,0.4426153898239136,0.9423991441726685,0.13900230824947357,0.25393179059028625,0.6915751695632935,0.42957809567451477
8,0.9432681202888489,0.13705967366695404,0.2631591558456421,0.6945959329605103,0.4443037211894989,0.9427893161773682,0.13879461586475372,0.25498783588409424,0.686272919178009,0.44793272018432617
9,0.9433614015579224,0.1368015557527542,0.2653345465660095,0.6950055956840515,0.4458484947681427,0.9428659081459045,0.13854433596134186,0.2568357586860657,0.6868308186531067,0.448814332485199
10,0.943513810634613,0.13651132583618164,0.26798662543296814,0.6964300274848938,0.44706642627716064,0.9427011013031006,0.1386653482913971,0.2548817992210388,0.6853683590888977,0.4473637342453003
11,0.9435828924179077,0.1362714320421219,0.26786527037620544,0.6968023180961609,0.44811099767684937,0.9429912567138672,0.13862298429012299,0.2565933167934418,0.6892879605293274,0.447601318359375
12,0.9436453580856323,0.1360488086938858,0.2714684009552002,0.6973516345024109,0.4486421048641205,0.9428256154060364,0.13876204192638397,0.25819268822669983,0.6825242042541504,0.45552968978881836
13,0.9437522888183594,0.13581837713718414,0.27359363436698914,0.6978293061256409,0.45041269063949585,0.9429056644439697,0.1386435627937317,0.25666287541389465,0.6814662218093872,0.45945945382118225
14,0.9438380002975464,0.1356324404478073,0.27378135919570923,0.6984540820121765,0.45136120915412903,0.9429364204406738,0.13882046937942505,0.2548580765724182,0.6955049633979797,0.43598079681396484
