epoch,loss,binary_accuracy,precision,recall,pr_auc,nothing,val_loss,val_binary_accuracy,val_precision,val_recall,val_pr_auc
0,1.9512966871261597,0.7209272980690002,0.2061302661895752,0.7763347625732422,0.3256083130836487,777,1.0547741651535034,0.717476487159729,0.21355774998664856,0.6650035381317139,0.24454514682292938
1,1.5621471405029297,0.7020050287246704,0.20654824376106262,0.8556998372077942,0.391437828540802,777,0.9089550971984863,0.7084729671478271,0.21390987932682037,0.7000859975814819,0.2769482731819153
2,1.6185249090194702,0.7370927929878235,0.22287967801094055,0.8152958154678345,0.391720712184906,777,0.9005738496780396,0.7484427690505981,0.23913739621639252,0.6778134107589722,0.2711403965950012
3,1.6337683200836182,0.7377192974090576,0.225058913230896,0.826839804649353,0.38630911707878113,777,0.896480143070221,0.7487810850143433,0.23821839690208435,0.6713224649429321,0.2809680104255676
4,1.5158720016479492,0.7479949593544006,0.23298217356204987,0.8297258019447327,0.3925337791442871,777,0.8967175483703613,0.7476193308830261,0.23148362338542938,0.6409165263175964,0.2849932014942169
5,1.751909613609314,0.7403509020805359,0.22671422362327576,0.8253968358039856,0.4004504382610321,777,0.9022507667541504,0.7522045969963074,0.2439669370651245,0.6868851184844971,0.2991498112678528
6,1.589151382446289,0.7681704163551331,0.24836885929107666,0.8239538073539734,0.4075202941894531,777,0.877197802066803,0.7676827311515808,0.2540682852268219,0.6659263372421265,0.29271477460861206
7,1.6514191627502441,0.7654135227203369,0.25095057487487793,0.8571428656578064,0.4098908007144928,777,0.8688622117042542,0.7660092115402222,0.25794628262519836,0.6957066059112549,0.30102962255477905
8,1.8507812023162842,0.7592731714248657,0.2437395602464676,0.8427128195762634,0.4412122666835785,777,0.8895400762557983,0.7654887437820435,0.2581592798233032,0.699632465839386,0.300662100315094
9,2.1980950832366943,0.7696741223335266,0.24945294857025146,0.822510838508606,0.39863285422325134,777,0.9354262351989746,0.774466335773468,0.2656908631324768,0.6930319666862488,0.29996228218078613
10,1.982913851737976,0.7563909888267517,0.24099378287792206,0.8398268222808838,0.4144901633262634,777,0.9213204979896545,0.7735349535942078,0.2635097801685333,0.6861187219619751,0.2966509759426117
11,1.8429841995239258,0.761403501033783,0.24483776092529297,0.8383838534355164,0.41988807916641235,777,0.9222643375396729,0.7742159962654114,0.2679966986179352,0.707421600818634,0.30371183156967163
12,2.1577272415161133,0.7794486284255981,0.2600089907646179,0.8340548276901245,0.3987547755241394,777,0.9385621547698975,0.7796525359153748,0.27081191539764404,0.6919840574264526,0.3021697402000427
13,2.170036554336548,0.7799498438835144,0.2580792009830475,0.8181818127632141,0.3847803473472595,777,0.9821742177009583,0.7807857394218445,0.2697156071662903,0.679361879825592,0.29032155871391296
14,2.658803939819336,0.7860902547836304,0.26174813508987427,0.8037518262863159,0.410522997379303,777,0.9841161370277405,0.7933303713798523,0.2835811972618103,0.6790646910667419,0.30756130814552307
15,3.1835596561431885,0.7804510593414307,0.2574438750743866,0.8109667897224426,0.3771190345287323,777,1.034225583076477,0.7918426990509033,0.2826041877269745,0.6832095384597778,0.3026868402957916
16,2.7732038497924805,0.7660400867462158,0.24785223603248596,0.8326118588447571,0.4015650451183319,777,1.0556796789169312,0.7718459367752075,0.2658666968345642,0.7086728811264038,0.293984979391098
17,3.710066318511963,0.8043859601020813,0.2799188494682312,0.7965368032455444,0.41527676582336426,777,1.1555769443511963,0.8100380301475525,0.30678626894950867,0.6921560764312744,0.3058988153934479
18,3.1851470470428467,0.781954824924469,0.2628001868724823,0.8369408249855042,0.3997781276702881,777,1.1649657487869263,0.7894670963287354,0.2821381092071533,0.6957848072052002,0.2993675768375397
19,2.900761842727661,0.7951127290725708,0.2697947323322296,0.7965368032455444,0.43217962980270386,777,1.1216634511947632,0.7980379462242126,0.287895143032074,0.6719324588775635,0.30115774273872375
20,2.541518449783325,0.7903508543968201,0.2686496675014496,0.8210678100585938,0.4104030430316925,777,1.1177949905395508,0.7963647842407227,0.2908093333244324,0.6996480822563171,0.2989324927330017
21,3.166792154312134,0.7857142686843872,0.2640371322631836,0.8210678100585938,0.4215414524078369,777,1.1527502536773682,0.7959807515144348,0.2884271442890167,0.688683807849884,0.29516729712486267
22,3.4312031269073486,0.7973684072494507,0.27375122904777527,0.8066378235816956,0.40980154275894165,777,1.208358883857727,0.7976952195167542,0.2885262072086334,0.6777195334434509,0.29019832611083984
23,3.822307586669922,0.8001253604888916,0.2760675251483917,0.8023087978363037,0.42704078555107117,777,1.2247002124786377,0.802847683429718,0.2928333282470703,0.6662548184394836,0.2986482083797455
24,4.06254768371582,0.7968671917915344,0.2734375,0.808080792427063,0.39986079931259155,777,1.2275923490524292,0.8106541633605957,0.30564936995506287,0.6807851791381836,0.29942774772644043
25,3.7972609996795654,0.7914786338806152,0.26489102840423584,0.789321780204773,0.40017542243003845,777,1.2085496187210083,0.8053491115570068,0.29917818307876587,0.6838351488113403,0.2994263470172882
26,4.2346954345703125,0.8015037178993225,0.27579265832901,0.7907648086547852,0.405966192483902,777,1.3115638494491577,0.8170936703681946,0.31400206685066223,0.6772347092628479,0.30154725909233093
27,3.59842848777771,0.7907268404960632,0.266379714012146,0.8037518262863159,0.3974323272705078,777,1.308070182800293,0.8079002499580383,0.3022967576980591,0.6826464533805847,0.2973809838294983
28,3.613459348678589,0.8017544150352478,0.27719298005104065,0.7979797720909119,0.39778879284858704,777,1.3093469142913818,0.8165633082389832,0.31408798694610596,0.6821459531784058,0.3026123642921448
29,3.9107348918914795,0.7929824590682983,0.2677966058254242,0.7979797720909119,0.40570688247680664,777,1.3129794597625732,0.8036413788795471,0.3004480302333832,0.7037772536277771,0.2966759502887726
30,4.27086067199707,0.8055137991905212,0.28406235575675964,0.8152958154678345,0.4095189869403839,777,1.3671780824661255,0.8114797472953796,0.30856138467788696,0.6911706924438477,0.3025009036064148
31,5.628997802734375,0.807393491268158,0.28358975052833557,0.7979797720909119,0.3865833282470703,777,1.4756757020950317,0.8176080584526062,0.3141471743583679,0.6737936735153198,0.29729387164115906
32,4.137248516082764,0.7968671917915344,0.27519381046295166,0.8196248412132263,0.40278974175453186,777,1.3372455835342407,0.8128669261932373,0.311770498752594,0.6989442110061646,0.30139103531837463
33,5.618098735809326,0.8159148097038269,0.29206860065460205,0.7864357829093933,0.4080316722393036,777,1.5507078170776367,0.8270204663276672,0.3286125361919403,0.6753890514373779,0.2990841567516327
34,3.9862287044525146,0.7805764675140381,0.26106593012809753,0.8340548276901245,0.4158983826637268,777,1.3184956312179565,0.7952237725257874,0.29191502928733826,0.71392822265625,0.29072389006614685
35,4.671667575836182,0.8090225458145142,0.2865947484970093,0.8051947951316833,0.4104139804840088,777,1.4644488096237183,0.8223204612731934,0.32324936985969543,0.6865566372871399,0.301603764295578
36,4.573024749755859,0.8091477751731873,0.28586170077323914,0.7994228005409241,0.4103812873363495,777,1.5074937343597412,0.8250302672386169,0.3276781141757965,0.6884648203849792,0.3013501465320587
37,4.828135967254639,0.7962406277656555,0.2743105888366699,0.8181818127632141,0.3819613754749298,777,1.4105918407440186,0.8054952025413513,0.3004542291164398,0.6900601983070374,0.28827640414237976
38,5.260905742645264,0.8122807145118713,0.290909081697464,0.808080792427063,0.41401031613349915,777,1.5834765434265137,0.8230696320533752,0.32204926013946533,0.6727144718170166,0.29405131936073303
39,5.062066078186035,0.8127819299697876,0.2928090989589691,0.8167388439178467,0.42191892862319946,777,1.6023541688919067,0.8264253735542297,0.32936587929725647,0.6855869293212891,0.30110111832618713
40,4.385434150695801,0.7923558354377747,0.26804620027542114,0.8037518262863159,0.39776748418807983,777,1.4035708904266357,0.8111541867256165,0.3079650104045868,0.690263569355011,0.29682597517967224
41,4.6523566246032715,0.8115288615226746,0.2900051772594452,0.808080792427063,0.43673864006996155,777,1.5730379819869995,0.8266364336013794,0.32838648557662964,0.6776570081710815,0.298031747341156
42,6.306759834289551,0.8230576515197754,0.30365920066833496,0.8023087978363037,0.41292333602905273,777,1.6933444738388062,0.8282526135444641,0.33510154485702515,0.7034957408905029,0.3058786690235138
43,5.801496505737305,0.8231829404830933,0.30209481716156006,0.7907648086547852,0.42314523458480835,777,1.6585222482681274,0.8329809308052063,0.33669281005859375,0.6656917333602905,0.30115553736686707
44,5.8282389640808105,0.8151628971099854,0.29635417461395264,0.8210678100585938,0.40876179933547974,777,1.506829023361206,0.8262854814529419,0.32998573780059814,0.6907171607017517,0.30589866638183594
45,5.764832973480225,0.8194235563278198,0.300851970911026,0.8152958154678345,0.4106113016605377,777,1.5565059185028076,0.8267269134521484,0.32888394594192505,0.6797997951507568,0.29602479934692383
