epoch,binary_accuracy,loss,pr_auc,precision,recall
0,0.706685483455658,0.9858147501945496,0.22504691779613495,0.2057003527879715,0.6555388569831848
1,0.7330498695373535,0.9219394326210022,0.25375059247016907,0.22667482495307922,0.6706256866455078
2,0.747390866279602,0.8888816237449646,0.27134284377098083,0.23907695710659027,0.676526665687561
3,0.7545394897460938,0.8681142330169678,0.27981069684028625,0.24583552777767181,0.6802533864974976
4,0.7581490278244019,0.8505262732505798,0.2872130572795868,0.2499219924211502,0.6851789355278015
5,0.7633675336837769,0.8331178426742554,0.2950046956539154,0.2555598020553589,0.6900478005409241
6,0.7677602767944336,0.8139098286628723,0.3012229800224304,0.25985169410705566,0.6908782124519348
7,0.7712073922157288,0.800780713558197,0.3032921254634857,0.2637673318386078,0.694042980670929
8,0.7744125127792358,0.7860626578330994,0.30752772092819214,0.2671188414096832,0.6949500441551208
9,0.7759986519813538,0.7766247987747192,0.3103606104850769,0.2687086760997772,0.6948633193969727
10,0.7809994220733643,0.7578705549240112,0.31763356924057007,0.2747019827365875,0.6993653774261475
11,0.7839301824569702,0.7459893822669983,0.31955209374427795,0.27772316336631775,0.6987234354019165
12,0.7874167561531067,0.7287144064903259,0.32411929965019226,0.28204670548439026,0.7015580534934998
13,0.789797306060791,0.721335768699646,0.3255646228790283,0.28444910049438477,0.7000190019607544
14,0.7911288142204285,0.7109960317611694,0.3261180520057678,0.28637006878852844,0.7023283839225769
15,0.7965914607048035,0.6941249370574951,0.3344419598579407,0.29311567544937134,0.7043709754943848
16,0.7969042658805847,0.6915132403373718,0.3329079747200012,0.2937779426574707,0.7060417532920837
17,0.7964125275611877,0.6870720386505127,0.33422818779945374,0.2936060130596161,0.7084778547286987
18,0.8030722737312317,0.6636372208595276,0.34180593490600586,0.3017292618751526,0.7082277536392212
19,0.7968531250953674,0.6831396818161011,0.3322019875049591,0.29379802942276,0.706523597240448
20,0.8065198659896851,0.652684211730957,0.3463986814022064,0.30644944310188293,0.7100868821144104
21,0.8072993755340576,0.6450789570808411,0.34905391931533813,0.3077344000339508,0.711700975894928
22,0.8086867332458496,0.642183244228363,0.34922918677330017,0.30952179431915283,0.711524248123169
23,0.8111581206321716,0.6328561305999756,0.35156434774398804,0.31293821334838867,0.7122312188148499
24,0.8138880729675293,0.6246228218078613,0.35616111755371094,0.31667354702949524,0.7122879028320312
25,0.8127042651176453,0.6271798610687256,0.35666489601135254,0.3151828944683075,0.7131382822990417
26,0.8206536173820496,0.5982714891433716,0.36771494150161743,0.3268366754055023,0.7157111167907715
27,0.818623423576355,0.605130136013031,0.36643311381340027,0.3239833116531372,0.7162813544273376
28,0.8184513449668884,0.6062847971916199,0.36607640981674194,0.32358887791633606,0.7153559327125549
29,0.8215920329093933,0.5969638824462891,0.3707684874534607,0.32833462953567505,0.7164614796638489
30,0.8231769800186157,0.5907609462738037,0.3744105398654938,0.33063364028930664,0.7160996198654175
31,0.8268486857414246,0.5773187279701233,0.38020583987236023,0.33656397461891174,0.7183473110198975
32,0.8262128829956055,0.5797420740127563,0.3817169666290283,0.33574753999710083,0.7194044589996338
33,0.8289916515350342,0.5705200433731079,0.3859407603740692,0.3399028778076172,0.7182922959327698
