epoch,binary_accuracy,loss,pr_auc,precision,recall,val_binary_accuracy,val_loss,val_pr_auc,val_precision,val_recall
0,0.9414029121398926,0.16932231187820435,0.05706176534295082,0.17656449973583221,0.007330409716814756,0.9429921507835388,0.16221404075622559,0.05700767785310745,0.0,0.0
1,0.9428150653839111,0.162863627076149,0.05820246785879135,0.37417295575141907,0.003624461591243744,0.9445993900299072,0.15987814962863922,0.06880556792020798,0.5744536519050598,0.10874774307012558
2,0.9452126026153564,0.1560005396604538,0.08255530893802643,0.6254861950874329,0.09674201905727386,0.9456660747528076,0.1530221849679947,0.09733567386865616,0.63750821352005,0.10873115807771683
3,0.945574939250946,0.15145044028759003,0.10742703080177307,0.6345387101173401,0.10968329012393951,0.9458461403846741,0.14969100058078766,0.12209004908800125,0.6373541355133057,0.11615566909313202
4,0.9458423256874084,0.14866112172603607,0.12542758882045746,0.6401615738868713,0.11751671880483627,0.945970356464386,0.14768847823143005,0.13465836644172668,0.6520794630050659,0.11198949068784714
5,0.9460726976394653,0.1468941867351532,0.1385098397731781,0.6431326270103455,0.12127917259931564,0.9459646940231323,0.14642053842544556,0.14763616025447845,0.6115387082099915,0.1429394632577896
6,0.9461484551429749,0.14554095268249512,0.14846956729888916,0.6452746987342834,0.12565100193023682,0.9462377429008484,0.14545252919197083,0.15185266733169556,0.6577901244163513,0.11868025362491608
7,0.9462692737579346,0.14442527294158936,0.15542325377464294,0.6462002992630005,0.12997318804264069,0.9463329911231995,0.1443108171224594,0.15764190256595612,0.630497395992279,0.14156316220760345
8,0.9464165568351746,0.1434464454650879,0.16329425573349,0.6489920020103455,0.13245873153209686,0.9464808702468872,0.14353378117084503,0.16518959403038025,0.6426652073860168,0.13782396912574768
9,0.9464912414550781,0.142485111951828,0.16903123259544373,0.6463295221328735,0.13816767930984497,0.9464918971061707,0.14308105409145355,0.16687040030956268,0.6399145722389221,0.14037756621837616
10,0.9467024207115173,0.141776442527771,0.17436298727989197,0.6537677645683289,0.14027540385723114,0.946448802947998,0.1428469866514206,0.17046800255775452,0.6824703812599182,0.11337821185588837
11,0.9467957019805908,0.14125926792621613,0.1775428056716919,0.6545283794403076,0.1432429403066635,0.9461848735809326,0.14261575043201447,0.1707470566034317,0.6743592023849487,0.10829588770866394
12,0.9468837380409241,0.14064081013202667,0.1848163902759552,0.6568543314933777,0.14658223092556,0.9466589689254761,0.1419333964586258,0.17423005402088165,0.633903443813324,0.15225844085216522
13,0.9470365643501282,0.13997973501682281,0.18686993420124054,0.6584870219230652,0.15014402568340302,0.9467273950576782,0.14183661341667175,0.17582447826862335,0.6312921643257141,0.15752731263637543
14,0.9471519589424133,0.1394769698381424,0.19317583739757538,0.659214973449707,0.15157006680965424,0.9465668201446533,0.14191710948944092,0.17785456776618958,0.6505464911460876,0.1354527622461319
