epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.16631029546260834,0.16631029546260834,0.2623051106929779,0.1775861382484436,0.1775861382484436,0.2586696147918701
1,0.19509579241275787,0.19509579241275787,0.2555050551891327,0.19881245493888855,0.19881245493888855,0.2546204626560211
2,0.19918882846832275,0.19918882846832275,0.2552170753479004,0.22345195710659027,0.22345195710659027,0.25047141313552856
3,0.22213377058506012,0.22213377058506012,0.24995872378349304,0.23163145780563354,0.23163145780563354,0.24703609943389893
4,0.21928592026233673,0.21928592026233673,0.24945446848869324,0.2371450513601303,0.2371450513601303,0.24709397554397583
5,0.23058563470840454,0.23058563470840454,0.2466145008802414,0.24675849080085754,0.24675849080085754,0.24387452006340027
6,0.24246342480182648,0.24246342480182648,0.24317634105682373,0.2421739250421524,0.2421739250421524,0.24232493340969086
7,0.24821361899375916,0.24821361899375916,0.24101269245147705,0.2577654719352722,0.2577654719352722,0.23894834518432617
8,0.2571345865726471,0.2571345865726471,0.23764069378376007,0.24972735345363617,0.24972735345363617,0.23717045783996582
9,0.2618083655834198,0.2618083655834198,0.23591041564941406,0.25649312138557434,0.25649312138557434,0.29226866364479065
10,0.2592727839946747,0.2592727839946747,0.23668088018894196,0.26000726222991943,0.26000726222991943,0.23994091153144836
11,0.2597631514072418,0.2597631514072418,0.23655131459236145,0.26507654786109924,0.26507654786109924,0.23636797070503235
12,0.26649409532546997,0.26649409532546997,0.23384815454483032,0.2740437090396881,0.2740437090396881,0.23368863761425018
13,0.2688329517841339,0.2688329517841339,0.23270663619041443,0.2859191298484802,0.2859191298484802,0.23193171620368958
14,0.2721087336540222,0.2721087336540222,0.23168067634105682,0.276830792427063,0.276830792427063,0.2310754507780075
15,0.27296188473701477,0.27296188473701477,0.23073908686637878,0.2838793098926544,0.2838793098926544,0.23426173627376556
16,0.27430009841918945,0.27430009841918945,0.23050980269908905,0.27820414304733276,0.27820414304733276,0.23135662078857422
17,0.27540573477745056,0.27540573477745056,0.23028621077537537,0.2693985402584076,0.2693985402584076,0.23142166435718536
18,0.27573665976524353,0.27573665976524353,0.22973334789276123,0.27721452713012695,0.27721452713012695,0.23013949394226074
19,0.27410608530044556,0.27410608530044556,0.23095503449440002,0.266369104385376,0.266369104385376,0.23606108129024506
20,0.2751040756702423,0.2751040756702423,0.2303132265806198,0.27382153272628784,0.27382153272628784,0.23281963169574738
21,0.2763732075691223,0.2763732075691223,0.22954967617988586,0.2708123028278351,0.2708123028278351,0.23397886753082275
22,0.2772117257118225,0.2772117257118225,0.22948411107063293,0.28224340081214905,0.28224340081214905,0.23352618515491486
23,0.27731671929359436,0.27731671929359436,0.22913393378257751,0.2770327627658844,0.2770327627658844,0.2295846939086914
24,0.2786894738674164,0.2786894738674164,0.22876934707164764,0.2670759856700897,0.2670759856700897,0.2323140949010849
25,0.27981242537498474,0.27981242537498474,0.2281607687473297,0.2859393358230591,0.2859393358230591,0.22942964732646942
26,0.2820409834384918,0.2820409834384918,0.22745634615421295,0.2759421467781067,0.2759421467781067,0.22905756533145905
27,0.28352272510528564,0.28352272510528564,0.22696058452129364,0.2760431468486786,0.2760431468486786,0.23347412049770355
28,0.2833685576915741,0.2833685576915741,0.22678305208683014,0.28668659925460815,0.28668659925460815,0.2293955683708191
29,0.2829725444316864,0.2829725444316864,0.22716693580150604,0.28997859358787537,0.28997859358787537,0.23144225776195526
